resourceId	address	city	country	postalCode	state	use
00000000-0000-0000-0000-000000000001	120 Main St, Bristol, UK, 23456	Bristol		23456	UK	
eddd4ca7-0d9e-488b-8d29-ed74c57eb800	120 Main St, Bristol, UK, 23456	Bristol		23456	UK	work
95e61f52-1bb0-4133-b7ac-d1bac85a79c9	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
4e085059-feb3-4dbb-b243-6aeafe9c939c	Sitauzis, Gwanda, Matabeleland South Province, ZW	Gwanda		ZW	Matabeleland South Province	
4171172e-cadf-4dcc-a7e0-0f445d94267a	Shop number 6, Tsumbo Complex Dulivadzimu, Beitbridge, ZW	Tsumbo Complex Dulivadzimu		ZW	Beitbridge	
c2ff2199-bd5f-46f6-be4b-facb699525c2	Shop number 6, Tsumbo Complex Dulivadzimu, Beitbridge, ZW	Tsumbo Complex Dulivadzimu		ZW	Beitbridge	work
3683c9ba-4b7a-48a5-84da-8e12a4c5b822	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
2db657ec-e563-4a8c-8275-85b1b78390cd	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
c0573bec-eb3c-4c3a-94f3-93e629d0201b	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
3da4d54b-c429-4cd3-83aa-6df2f4c94e39	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
e017eb64-1b56-4441-b486-8c05ea537f6b	Matsai Twp, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
a4daaacd-19d7-4630-823f-a123b85b71fe	Muvuti, Gutu, Masvingo Province, ZW	Gutu		ZW	Masvingo Province	
d127e3ed-4f15-4dcc-b09c-2888167049cd	Matsai Twp, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
a4c325a0-17d5-47ab-93e1-ed35260d8405	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
0bf42900-5861-44cc-bd90-8cd3f6f2b785	Gutu, Masvingo Province, ZW	Gutu		ZW	Masvingo Province	work
ddb09e33-af0f-44bf-b2b3-37fa2ae19ec6	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
1db0b7dc-638a-499c-8d4c-3b5ee5c43b49	Manhenga, Mashonaland Central Province, ZW	Manhenga		ZW	Mashonaland Central Province	
efa7df4d-11bc-4a40-8c36-44e0c352a4cc	Mhembere, Goromonzi, Mashonaland East Province, ZW	Goromonzi		ZW	Mashonaland East Province	
19253deb-560d-40f0-96fc-1eacb6915cf2	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
ee5824eb-6845-4f92-9178-fc179ef350ee	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
a4505f0f-06f2-4dbf-823f-66c9d34ce6e0	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
5a2b612c-9452-412f-869c-908b185ca744	Chief Simupas Village, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
b3aef05c-a6f5-4910-ae1c-35db9ea641c8	Tinde, Hwange, Matabeleland North Province, ZW	Hwange		ZW	Matabeleland North Province	
01c0425f-d7f9-415a-9574-7c8fff99c2b0	Impampa, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
d7660d81-9795-4cb7-b7cb-79b2af4d4658	Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
903f10e3-9d63-49e7-a45b-10ab099ca584	Inyati, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	
246becb8-b3e1-4144-92a1-554c188fd8d7	Ngiki, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	
c0a957ae-c5b0-496c-8f5f-cd8f258f2433	Manjolo, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
10fe84d0-782d-44de-a689-a4416b61fe74	Turk Mine, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	
15b5988f-edb8-444d-bb80-13cfbd05925d	Birchenough Bridge, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	
5106e948-3e00-482f-b8c5-bc92131c74d3	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
5148b2c4-93f1-4395-bb6a-189e41b7ff8c	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
30030d0b-9657-4551-8a57-247b355d8271	Baruru, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
fafa01c0-e09e-48a9-83aa-ccb88d626735	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
1e5e724a-fdeb-4ede-93e5-54b5803f272e	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
e23fe7fb-57da-4b59-8dc8-5cf53d15d6e7	Hlananisas, Tsholotsho, Matabeleland South Province, ZW	Tsholotsho		ZW	Matabeleland South Province	
65b65d8e-2e1e-4fe1-a1d1-bbb9459feb0d	Matole, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
e9a2a469-f95e-4e82-ada9-eab847fd015e	Plumtree, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
fb892dd6-fe50-4e16-8c63-108ee8ae1d27	Ndolwane, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
36057cec-42cd-4300-8af8-618fffe9fcb7	Maclear, Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	
58752559-b0eb-4e5a-a24a-45c989fac7be	Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	work
86ad6d03-a5c9-43a3-845e-e6acd95c2a06	Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	
9a775a91-5d6c-4710-b70a-0e37ae8f5fe7	Selous, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	
67d35e0b-77a2-4ee8-b171-3fcb0ee7d6a1	Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	
274b9457-b898-423b-a5a3-e2cb90088ba3	Chakara, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	
ae2df8b5-71ea-4b30-bf78-3c742bb1e5a1	Matswaire, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
f35487a2-7401-498a-a0f6-bf9c74889a3d	4PR2+X39, Galloway Rd, Norton, ZW	Galloway Rd		ZW	Norton	
ff3d1e87-c5a9-4925-95d3-8e03a0c8b02b	mhondoro, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
1a0b87d5-fb88-4c93-9db3-8d5ecb2ba46c	Neuso Business Centre, Kadoma, Mashonaland West Province, ZW	Kadoma		ZW	Mashonaland West Province	
defc481b-d63f-42fa-ba68-a7d5f1f86183	Matswaire, Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
73da4219-c918-4dd0-888a-02bd27a971fe	Dodington, Kadoma, Mashonaland West Province, ZW	Kadoma		ZW	Mashonaland West Province	work
cfb1142f-1e20-4042-bdfe-06391a14d963	Chegutu, Mashonaland West Province, ZW	Chegutu		ZW	Mashonaland West Province	work
6384ca08-7ba7-44d3-9668-f593554c84e2	Sadza, Chikomba, Mashonaland East Province, ZW	Chikomba		ZW	Mashonaland East Province	
dd8fef54-943a-40ac-9f85-9075b563db45	Chikomba, Mashonaland East Province, ZW	Chikomba		ZW	Mashonaland East Province	
e0f933f0-28ec-4032-a25c-2446cfdb52ed	Gutu, Mashonaland East Province, ZW	Gutu		ZW	Mashonaland East Province	work
6521231b-9ab5-46d0-9e07-7e33b810a06c	Rundu, Chikomba, Mashonaland East Province, ZW	Chikomba		ZW	Mashonaland East Province	work
f6be4ae5-6920-4128-a77a-8d2b7d613e25	Chivhu, Chikomba, Mashonaland East Province, ZW	Chikomba		ZW	Mashonaland East Province	
b89cd611-d240-4c5c-ba9d-7b2262d7780e	Sadza, Chikomba, Mashonaland East Province, ZW	Chikomba		ZW	Mashonaland East Province	work
d3f1782c-ab25-47e7-9725-f36752693883	Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	
9614b189-20bd-4ea1-8893-be768bea58c7	Nyahode, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	work
01eae6d8-730e-4115-8fe2-9c146850f394	Hot Springs, Chimanimani, Manicaland Province, ZW	Chimanimani		ZW	Manicaland Province	work
e71aaaec-111f-4c72-b4ba-56ebf328a81e	Sinyoni, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
925c8dee-8cb3-4ac9-8152-aac112c9b014	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
f0f8ceda-de77-4720-804e-434776efa2a5	Sitauzis, Gwanda, Matabeleland South Province, ZW	Gwanda		ZW	Matabeleland South Province	work
f8aafd06-9dd5-4f8e-b083-6661defc5a7f	Masole, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
dc85fff4-86a7-456b-94da-38f672863d9b	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
c18f560b-4d53-4924-8a0d-cf13f5915b2b	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
b1e57dfd-5f16-49ef-8190-3b5e451d3be7	Gutu, Masvingo Province, ZW	Gutu		ZW	Masvingo Province	
63248c05-9acb-45ca-abe3-77b04e0a0490	Nyika Growth Point, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
08923a42-b820-432e-aa58-3a5f9265617e	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
6693c85e-91e2-4ad0-928d-dd059da4a9c5	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
a2e7ffd6-609d-4ba7-9a0c-743bbce22152	Nyika Growth Point, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
60b80ffa-f3d1-4b7e-9cfd-dd9ab26596eb	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
a6ef1fd5-38ed-431c-a6e6-7a90174fd6c9	Matsai Twp, Chiredzi, Masvingo Province, ZW	Chiredzi		ZW	Masvingo Province	work
d371e7f1-3c99-4783-8e81-270f2f090969	Shamva-Bindura Rd, Bindura, ZW	Shamva-Bindura Rd		ZW	Bindura	work
ee0ef9df-b747-4856-bae6-20bb7915df89	Chinamhora, Goromonzi, Mashonaland East Province, ZW	Goromonzi		ZW	Mashonaland East Province	
6f2c7a2a-42f4-4f4d-84e6-35a304e4d1b4	Madziwa Road, Madziwa Road, ZW			ZW	Madziwa Road	
f4f19851-4015-4538-a2f2-9bd3c021eee5	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
622f7d02-45a2-4ff8-9da4-a030426a6e06	Chief Simupas Village, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
575635b1-cb1c-4284-b708-5c1920fc260c	Lusulu, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
6f04ad34-386e-4eda-b094-99d16806395c	Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
6fc41dcc-9ddf-4670-b0bc-ae2811020a2e	James, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
75108e1a-8594-4258-91fc-c6ddbc8c4669	Ngiki, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	work
68386e9d-935a-4b05-bab8-4596a00c5191	Eastnor, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	
6949b6dd-0250-401b-8020-6f24f1db1a7f	Ngiki, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	work
a96b105f-b6cf-4a3a-b89f-d1646378fc53	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
b00318bb-62b9-41e6-bd21-1ef9f4060306	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
3d6c1a11-93d5-4854-b492-c56e8daf0150	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
b54064eb-c016-43cb-a611-eef55ad80b00	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
c63a3a01-8e94-4738-8b72-ab4b3bf6ff96	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
cca24a69-3765-4297-b0c2-c6b39fe1b915	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
d2b3c36a-d50e-4ff7-9d32-f8ff4337d089	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
470c4cb0-2105-4fa3-b68c-9f32e1ed15f3	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
1abbb264-5032-4eea-b440-ea8a1675398c	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
14884541-0aab-4a68-95ee-7af3d16bd771	Dorowa, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
6d649c9a-68e8-4b70-9bf0-4a1ed8b5598d	Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
e4625062-0e54-4613-9fc9-eaf791fc2aa3	Hingwe, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
d896da9e-6db7-4572-8c8e-8150206e5068	Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
a4ddbce8-3b85-4d23-9a7d-503942505425	Ndolwane, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
f4a6b2f0-73f6-4add-9769-432b009ab9b4	Marula, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
0d4c2f81-8c66-4e94-beba-60fae0e07baf	Sheleni, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
2c5ce60c-ce59-4d4f-a983-82c2384d5732	Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	work
fa80c43f-57bf-4654-a19b-34d4662253b7	Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	work
8fb7c22b-bd33-4cf0-8f17-9b2e53017e46	Maclear, Centenary, Mashonaland Central Province, ZW	Centenary		ZW	Mashonaland Central Province	work
c4ef467d-c775-45d4-ace2-08b97c8b282e	Taikoo, Guruve, Mashonaland Central Province, ZW	Guruve		ZW	Mashonaland Central Province	work
