id	content	lastUpdated	compartments	endpoint	name	near	organization	partof	status	deleted	_profile	_security	_source	_tag	projectId	organizationId	location
eddd4ca7-0d9e-488b-8d29-ed74c57eb800	"{""resourceType"":""Location"",""status"":""active"",""name"":""VHA Test Clinic"",""type"":[{""coding"":[{""code"":""PC"",""display"":""Primary care clinic"",""system"":""http://terminology.hl7.org/CodeSystem/v3-RoleCode""}]}],""address"":{""use"":""work"",""type"":""both"",""line"":[""120 Main St""],""city"":""Bristol"",""state"":""UK"",""postalCode"":""23456""},""physicalType"":{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/location-physical-type"",""code"":""bu"",""display"":""Building""}]},""position"":{""longitude"":-2.5879,""latitude"":51.4545},""managingOrganization"":{""reference"":""Organization/00000000-0000-0000-0000-000000000001"",""display"":""VHA Test Clinic""},""id"":""eddd4ca7-0d9e-488b-8d29-ed74c57eb800"",""meta"":{""versionId"":""1ae8df47-6472-4190-9c15-7b88b1148c43"",""lastUpdated"":""2024-10-05T13:26:17.833Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.833-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}		"{""VHA Test Clinic""}"	"{""longitude"":-2.5879,""latitude"":51.4545}"	Organization/00000000-0000-0000-0000-000000000001		active	f					b57c5741-ffb7-4477-a9bf-5e66323234df	00000000-0000-0000-0000-000000000001	0101000020E6100000158C4AEA04B404C01904560E2DBA4940
c2ff2199-bd5f-46f6-be4b-facb699525c2	"{""resourceType"":""Location"",""status"":""active"",""name"":""Dulibadzimu Clinic"",""type"":[{""coding"":[{""code"":""PC"",""display"":""Primary care clinic"",""system"":""http://terminology.hl7.org/CodeSystem/v3-RoleCode""}]}],""address"":{""use"":""work"",""type"":""both"",""line"":[""Shop number 6""],""city"":""Tsumbo Complex Dulivadzimu"",""state"":""Beitbridge"",""postalCode"":""ZW""},""physicalType"":{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/location-physical-type"",""code"":""bu"",""display"":""Building""}]},""position"":{""longitude"":29.9837207794,""latitude"":-22.20681},""managingOrganization"":{""reference"":""Organization/4171172e-cadf-4dcc-a7e0-0f445d94267a"",""display"":""Dulibadzimu Clinic""},""id"":""c2ff2199-bd5f-46f6-be4b-facb699525c2"",""meta"":{""versionId"":""6fcdcb4d-181d-4a2b-b033-181ef6df56bf"",""lastUpdated"":""2024-10-05T13:26:17.900Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.9-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}		"{""Dulibadzimu Clinic""}"	"{""longitude"":29.9837207794,""latitude"":-22.20681}"	Organization/4171172e-cadf-4dcc-a7e0-0f445d94267a		active	f					b57c5741-ffb7-4477-a9bf-5e66323234df	4171172e-cadf-4dcc-a7e0-0f445d94267a	0101000020E61000002BEBFF1FD5FB3D405B7C0A80F13436C0
3683c9ba-4b7a-48a5-84da-8e12a4c5b822	"{""resourceType"":""Location"",""status"":""active"",""name"":""ZRP Clinic"",""type"":[{""coding"":[{""code"":""PC"",""display"":""Primary care clinic"",""system"":""http://terminology.hl7.org/CodeSystem/v3-RoleCode""}]}],""address"":{""use"":""work"",""type"":""both"",""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""},""physicalType"":{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/location-physical-type"",""code"":""bu"",""display"":""Building""}]},""position"":{""longitude"":30.0051898956,""latitude"":-22.21992},""managingOrganization"":{""reference"":""Organization/925c8dee-8cb3-4ac9-8152-aac112c9b014"",""display"":""ZRP Clinic""},""id"":""3683c9ba-4b7a-48a5-84da-8e12a4c5b822"",""meta"":{""versionId"":""20dabb98-c6a6-48dc-97d2-3ed56d11876a"",""lastUpdated"":""2024-10-05T13:26:17.929Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.929-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}		"{""ZRP Clinic""}"	"{""longitude"":30.0051898956,""latitude"":-22.21992}"	Organization/925c8dee-8cb3-4ac9-8152-aac112c9b014		active	f					b57c5741-ffb7-4477-a9bf-5e66323234df	925c8dee-8cb3-4ac9-8152-aac112c9b014	0101000020E610000025DFFF1F54013E407FBC57AD4C3836C0
c0573bec-eb3c-4c3a-94f3-93e629d0201b	"{""resourceType"":""Location"",""status"":""active"",""name"":""Nottingham Rural Health Centre"",""type"":[{""coding"":[{""code"":""PC"",""display"":""Primary care clinic"",""system"":""http://terminology.hl7.org/CodeSystem/v3-RoleCode""}]}],""address"":{""use"":""work"",""type"":""both"",""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""},""physicalType"":{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/location-physical-type"",""code"":""bu"",""display"":""Building""}]},""position"":{""longitude"":29.63697052,""latitude"":-22.12217},""managingOrganization"":{""reference"":""Organization/2db657ec-e563-4a8c-8275-85b1b78390cd"",""display"":""Nottingham Rural Health Centre""},""id"":""c0573bec-eb3c-4c3a-94f3-93e629d0201b"",""meta"":{""versionId"":""daf04276-7bda-479d-99d1-2005cf7a0ee3"",""lastUpdated"":""2024-10-05T13:26:17.954Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.954-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}		"{""Nottingham Rural Health Centre""}"	"{""longitude"":29.63697052,""latitude"":-22.12217}"	Organization/2db657ec-e563-4a8c-8275-85b1b78390cd		active	f					b57c5741-ffb7-4477-a9bf-5e66323234df	2db657ec-e563-4a8c-8275-85b1b78390cd	0101000020E610000086EAFF7F10A33D40658D7A88461F36C0
3da4d54b-c429-4cd3-83aa-6df2f4c94e39	"{""resourceType"":""Location"",""status"":""active"",""name"":""Tongwe Clinic"",""type"":[{""coding"":[{""code"":""PC"",""display"":""Primary care clinic"",""system"":""http://terminology.hl7.org/CodeSystem/v3-RoleCode""}]}],""address"":{""use"":""work"",""type"":""both"",""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""},""physicalType"":{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/location-physical-type"",""code"":""bu"",""display"":""Building""}]},""position"":{""longitude"":30.0404205322,""latitude"":-21.93567},""managingOrganization"":{""reference"":""Organization/969cd76c-d2bc-47f9-be67-4d86b97d39de"",""display"":""Tongwe Clinic""},""id"":""3da4d54b-c429-4cd3-83aa-6df2f4c94e39"",""meta"":{""versionId"":""1c25c42f-59c8-4886-8a66-1c9d0a5bc77e"",""lastUpdated"":""2024-10-05T13:26:17.962Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.962-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}		"{""Tongwe Clinic""}"	"{""longitude"":30.0404205322,""latitude"":-21.93567}"	Organization/969cd76c-d2bc-47f9-be67-4d86b97d39de		active	f					b57c5741-ffb7-4477-a9bf-5e66323234df	969cd76c-d2bc-47f9-be67-4d86b97d39de	0101000020E6100000CBE2FFFF580A3E402BD9B11188EF35C0
0bf42900-5861-44cc-bd90-8cd3f6f2b785	"{""resourceType"":""Location"",""status"":""active"",""name"":""Gangare Rural Health Centre"",""type"":[{""coding"":[{""code"":""PC"",""display"":""Primary care clinic"",""system"":""http://terminology.hl7.org/CodeSystem/v3-RoleCode""}]}],""address"":{""use"":""work"",""type"":""both"",""city"":""Gutu"",""state"":""Masvingo Province"",""postalCode"":""ZW""},""physicalType"":{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/location-physical-type"",""code"":""bu"",""display"":""Building""}]},""position"":{""longitude"":31.81698,""latitude"":-19.9153},""managingOrganization"":{""reference"":""Organization/bc17ba94-8d1f-48b3-9bd5-128b4ad8c37d"",""display"":""Gangare Rural Health Centre""},""id"":""0bf42900-5861-44cc-bd90-8cd3f6f2b785"",""meta"":{""versionId"":""f2ebbb78-d0dd-4171-b20f-7b27928fa2cf"",""lastUpdated"":""2024-10-05T13:26:18.020Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:18.02-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}		"{""Gangare Rural Health Centre""}"	"{""longitude"":31.81698,""latitude"":-19.9153}"	Organization/bc17ba94-8d1f-48b3-9bd5-128b4ad8c37d		active	f					b57c5741-ffb7-4477-a9bf-5e66323234df	bc17ba94-8d1f-48b3-9bd5-128b4ad8c37d	0101000020E6100000707CED9925D13F405F07CE1951EA33C0
539cc40c-48ca-4701-b813-bf9d072e12c6	"{""resourceType"":""Location"",""status"":""active"",""name"":""Beitbridge District Hospital"",""type"":[{""coding"":[{""code"":""HOSP"",""display"":""Hospital"",""system"":""http://terminology.hl7.org/CodeSystem/v3-RoleCode""}]}],""address"":{""use"":""work"",""type"":""both"",""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""},""physicalType"":{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/location-physical-type"",""code"":""bu"",""display"":""Building""}]},""position"":{""longitude"":29.9876098633,""latitude"":-22.20458},""managingOrganization"":{""reference"":""Organization/95e61f52-1bb0-4133-b7ac-d1bac85a79c9"",""display"":""Beitbridge District Hospital""},""id"":""539cc40c-48ca-4701-b813-bf9d072e12c6"",""meta"":{""versionId"":""0a16dd80-a1e2-410f-a5e8-39de8ff79a8c"",""lastUpdated"":""2024-10-05T13:26:17.892Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.892-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}		"{""Beitbridge District Hospital""}"	"{""longitude"":29.9876098633,""latitude"":-22.20458}"	Organization/95e61f52-1bb0-4133-b7ac-d1bac85a79c9		active	f					b57c5741-ffb7-4477-a9bf-5e66323234df	95e61f52-1bb0-4133-b7ac-d1bac85a79c9	0101000020E61000009E140000D4FC3D406A6AD95A5F3436C0
87600300-eee8-46cc-bb21-bbd1c341d6dd	"{""resourceType"":""Location"",""status"":""active"",""name"":""Chikwarakwara Rural Health Centre"",""type"":[{""coding"":[{""code"":""PC"",""display"":""Primary care clinic"",""system"":""http://terminology.hl7.org/CodeSystem/v3-RoleCode""}]}],""address"":{""use"":""work"",""type"":""both"",""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""},""physicalType"":{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/location-physical-type"",""code"":""bu"",""display"":""Building""}]},""position"":{""longitude"":31.0912494659,""latitude"":-22.31725},""managingOrganization"":{""reference"":""Organization/7bb111e5-1d6b-468a-a07b-0f1991e66539"",""display"":""Chikwarakwara Rural Health Centre""},""id"":""87600300-eee8-46cc-bb21-bbd1c341d6dd"",""meta"":{""versionId"":""166cba4f-d7bd-45bb-af66-9d2b87f7c34a"",""lastUpdated"":""2024-10-05T13:26:17.928Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.928-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}		"{""Chikwarakwara Rural Health Centre""}"	"{""longitude"":31.0912494659,""latitude"":-22.31725}"	Organization/7bb111e5-1d6b-468a-a07b-0f1991e66539		active	f					b57c5741-ffb7-4477-a9bf-5e66323234df	7bb111e5-1d6b-468a-a07b-0f1991e66539	0101000020E610000066D1FF1F5C173F40F0A7C64B375136C0
0b1c656f-296d-4acd-bd29-2554a96e0e02	"{""resourceType"":""Location"",""status"":""active"",""name"":""Prison Clinic"",""type"":[{""coding"":[{""code"":""PC"",""display"":""Primary care clinic"",""system"":""http://terminology.hl7.org/CodeSystem/v3-RoleCode""}]}],""address"":{""use"":""work"",""type"":""both"",""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""},""physicalType"":{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/location-physical-type"",""code"":""bu"",""display"":""Building""}]},""position"":{""longitude"":29.9852790833,""latitude"":-22.22269},""managingOrganization"":{""reference"":""Organization/1c847850-7b8f-416b-848e-c1f6da968d7f"",""display"":""Prison Clinic""},""id"":""0b1c656f-296d-4acd-bd29-2554a96e0e02"",""meta"":{""versionId"":""5f926b14-6a4f-43dc-87d9-69fa0e54aecb"",""lastUpdated"":""2024-10-05T13:26:17.957Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.957-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}		"{""Prison Clinic""}"	"{""longitude"":29.9852790833,""latitude"":-22.22269}"	Organization/1c847850-7b8f-416b-848e-c1f6da968d7f		active	f					b57c5741-ffb7-4477-a9bf-5e66323234df	1c847850-7b8f-416b-848e-c1f6da968d7f	0101000020E6100000D43400403BFC3D4070253B36023936C0
fd02a94d-cbe7-45b5-b7ac-1d6f60802b31	"{""resourceType"":""Location"",""status"":""active"",""name"":""Mtetengwe Clinic"",""type"":[{""coding"":[{""code"":""PC"",""display"":""Primary care clinic"",""system"":""http://terminology.hl7.org/CodeSystem/v3-RoleCode""}]}],""address"":{""use"":""work"",""type"":""both"",""city"":""Beitbridge"",""state"":""Matabeleland South Province"",""postalCode"":""ZW""},""physicalType"":{""coding"":[{""system"":""http://terminology.hl7.org/CodeSystem/location-physical-type"",""code"":""bu"",""display"":""Building""}]},""position"":{""longitude"":29.9283,""latitude"":-21.99529},""managingOrganization"":{""reference"":""Organization/dc85fff4-86a7-456b-94da-38f672863d9b"",""display"":""Mtetengwe Clinic""},""id"":""fd02a94d-cbe7-45b5-b7ac-1d6f60802b31"",""meta"":{""versionId"":""e381cd80-7416-405f-b5f9-12ff9dca2ed3"",""lastUpdated"":""2024-10-05T13:26:17.964Z"",""author"":{""reference"":""ClientApplication/00000000-0000-0000-1000-000000000000"",""display"":""Virtual Hospitals Africa""},""project"":""b57c5741-ffb7-4477-a9bf-5e66323234df"",""compartment"":[{""reference"":""Project/b57c5741-ffb7-4477-a9bf-5e66323234df""}]}}"	2024-10-05 09:26:17.964-04	{b57c5741-ffb7-4477-a9bf-5e66323234df}		"{""Mtetengwe Clinic""}"	"{""longitude"":29.9283,""latitude"":-21.99529}"	Organization/dc85fff4-86a7-456b-94da-38f672863d9b		active	f					b57c5741-ffb7-4477-a9bf-5e66323234df	dc85fff4-86a7-456b-94da-38f672863d9b	0101000020E610000076E09C11A5ED3D402D095053CBFE35C0
