id	created_at	updated_at	age_min_days	age_max_days	required_measurement_snomed_concept_id	medical_standard	clinical_rationale	is_required	effective_date	expiration_date	active
5416f53c-3788-47ef-84f8-29ab9bed2454	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	0	28	8499008	PALS_2025	Heart rate monitoring for neonatal patients per PALS 2020-2025 guidelines	t	2025-10-07		t
06ab431c-c640-4926-a759-c77fccda8321	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	0	28	86290005	PALS_2025	Respiratory rate monitoring for neonatal patients per PALS 2020-2025 guidelines	t	2025-10-07		t
6dd27cf1-e0b5-4a95-94c4-699d93399d1d	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	0	28	722490005	PALS_2025	Temperature monitoring for neonatal patients; critical for thermoregulation assessment	t	2025-10-07		t
ac804e9f-1b2b-4b9b-a6d8-6c1c21517d47	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	0	28	103228002	PALS_2025	Oxygen saturation monitoring for neonatal patients; essential for respiratory assessment	t	2025-10-07		t
4dac5534-c67e-4de2-b098-6409aaa0769f	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	0	28	363808001	WHO_2023	Weight measurement for neonatal growth monitoring per WHO standards	t	2025-10-07		t
6f3013e9-5d6f-4e5e-95a1-9c0880341201	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	0	28	363812007	WHO_2023	Head circumference for neonatal brain development monitoring per WHO standards	t	2025-10-07		t
2163e709-8922-4271-bbef-d856191993da	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	29	365	8499008	PALS_2025	Heart rate monitoring for infant patients per PALS 2020-2025 guidelines	t	2025-10-07		t
a9f905a2-c853-4728-8ea9-70a291d9bdc3	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	29	365	86290005	PALS_2025	Respiratory rate monitoring for infant patients per PALS 2020-2025 guidelines	t	2025-10-07		t
149e44d2-0ca3-4383-8986-885327184cc1	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	29	365	722490005	PALS_2025	Temperature monitoring for infant patients	t	2025-10-07		t
e8a180ae-888a-4958-ad14-14e77f22cafc	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	29	365	103228002	PALS_2025	Oxygen saturation monitoring for infant patients; normal >94%	t	2025-10-07		t
538b292f-ac0d-4c05-b397-88c17e0f92d2	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	29	365	363808001	WHO_2023	Weight measurement for infant growth monitoring per WHO growth charts	t	2025-10-07		t
48b5fb10-a67e-40a7-842c-44a1337f505c	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	29	365	1153637007	WHO_2023	Length measurement for infant growth monitoring per WHO growth charts	t	2025-10-07		t
87086269-912c-4aeb-b643-1a1817795022	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	29	365	363812007	WHO_2023	Head circumference for infant brain development monitoring (birth to 2 years critical)	t	2025-10-07		t
cba57aa9-eaa5-49be-96e9-f447364a7f2c	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	366	1095	8499008	PALS_2025	Heart rate monitoring for toddler patients per PALS 2020-2025 guidelines	t	2025-10-07		t
37b65c39-d196-4eda-92cc-ae5bee48f9fe	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	366	1095	86290005	PALS_2025	Respiratory rate monitoring for toddler patients per PALS 2020-2025 guidelines	t	2025-10-07		t
f4af11cc-79ba-42ab-bb43-11be27cafc42	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	366	1095	722490005	PALS_2025	Temperature monitoring for toddler patients	t	2025-10-07		t
2b9e5e20-0e12-479c-9e7c-0537ca7568f2	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	366	1095	103228002	PALS_2025	Oxygen saturation monitoring for toddler patients	t	2025-10-07		t
25343569-4296-44f7-a537-6aef8674e725	2025-10-07 18:28:39.769666+00	2025-10-07 18:28:39.769666+00	366	1095	363808001	WHO_2023	Weight measurement for toddler growth monitoring per WHO growth charts	t	2025-10-07		t
